日期,订单编号,门店所在城市,门店名称,门店id,订单序号,下单时间,完成时间,配送时长,订单状态,是否预订单,是否到店自取,商品信息,活动信息,配送类型,是否部分退款,是否全额退款,顾客实付,商品原价,配送费,包装费,活动补贴(平台+商家),商家活动支出,是否商责取消,商责取消原因,是否配送延迟,是否有效配送信息回传,配送信息回传无效原因
20221212,ID:900324673164875212,东莞,沙拉食刻（松山湖1分店）,14764991,26,2022-12-12 11:18:06,2022-12-12 11:50:11,6,已完成,否,否,"蜜汁鸡腿扒荞麦面沙拉套餐(焙煎芝麻汁,蒜香海鲜汁),单价17.9*数量1",购买蜜汁鸡腿扒荞麦面沙拉套餐原价18.8元现价17.9元[新美大承担:0.9元]/用户使用了支付红包减1.6元[新美大承担:1.6元],美团快送,否,否,16.3,18.8,0.0,0.0,2.5,0.0,否,,否,,
20221212,ID:900324673541584041,东莞,沙拉食刻（松山湖1分店）,14764991,28,2022-12-12 11:19:44,2022-12-12 12:13:21,21,已完成,否,否,"黑椒鸡腿扒荞麦面+果蔬沙拉(焙煎芝麻汁,黑胡椒汁),单价17.8*数量1",购买黑椒鸡腿扒荞麦面+果蔬沙拉原价18.7元现价17.8元[新美大承担:0.9元],美团快送,否,否,17.8,18.7,0.0,0.0,0.9,0.0,否,,否,,
20221212,ID:900324682628841368,东莞,沙拉食刻（松山湖1分店）,14764991,29,2022-12-12 11:22:11,2022-12-12 11:41:31,8,已完成,否,否,"黑椒鸡腿扒谷物饭沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价22.8*数量1/咖喱鸡扒饭(1人份),单价18.8*数量1",购买黑椒鸡腿扒谷物饭沙拉套餐原价35.0元现价22.8元[商家承担:12.2元]/购买咖喱鸡扒饭原价24.0元现价18.8元[商家承担:5.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,42.4,59.0,3.4,0.0,20.0,20.0,否,,否,,
20221212,ID:900324681303942280,东莞,沙拉食刻（松山湖1分店）,14764991,30,2022-12-12 11:22:47,2022-12-12 12:06:51,15,已完成,否,否,"奥尔良鸡胸肉谷物饭+果蔬沙拉(焙煎芝麻汁,焙煎芝麻汁),单价16.9*数量1",用户使用了支付红包减1.6元[新美大承担:1.6元]/购买奥尔良鸡胸肉谷物饭+果蔬沙拉原价17.7元现价16.9元[新美大承担:0.8元],美团快送,否,否,15.3,17.7,0.0,0.0,2.4,0.0,否,,否,,
20221212,ID:900324680929891441,东莞,沙拉食刻（松山湖1分店）,14764991,31,2022-12-12 11:22:58,2022-12-12 12:12:14,20,已完成,否,否,"蜜汁鸡胸肉荞麦面+果蔬沙拉(蒜香海鲜汁,蒜香海鲜汁),单价16.8*数量1",购买蜜汁鸡胸肉荞麦面+果蔬沙拉原价17.7元现价16.8元[新美大承担:0.9元]/用户使用了支付红包减1.6元[新美大承担:1.6元],美团快送,否,否,15.2,17.7,0.0,0.0,2.5,0.0,否,,否,,
20221212,ID:900324680242760143,东莞,沙拉食刻（松山湖1分店）,14764991,32,2022-12-12 11:26:16,2022-12-12 11:49:45,18,已完成,否,否,"黑椒鸡腿扒荞麦面果蔬沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价22.8*数量1",用户使用了会员红包减5元[新美大承担:5.0元]/购买黑椒鸡腿扒荞麦面果蔬沙拉套餐原价35.0元现价22.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,17.8,35.0,2.6,0.0,19.8,14.8,否,,否,,
20221212,ID:900324684001780317,东莞,沙拉食刻（松山湖1分店）,14764991,33,2022-12-12 11:27:07,2022-12-12 12:14:22,27,已完成,否,否,"热辣藤椒鸡胸肉面沙拉派(1人份,黑椒酱),单价25.0*数量2",用户使用了会员红包减5元[新美大承担:5.0元]/满35.0元减11.0元[商家承担:11.0元]/减配送费2.6元[商家承担:2.6元],美团快送,是,是,36.0,50.0,4.6,0.0,18.6,13.6,否,,否,,
20221212,ID:900324683548551094,东莞,沙拉食刻（松山湖1分店）,14764991,34,2022-12-12 11:27:13,2022-12-12 12:10:14,4,已完成,否,否,"蜜汁鸡胸肉荞麦面沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价21.8*数量1",购买蜜汁鸡胸肉荞麦面沙拉套餐原价34.0元现价21.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,21.8,34.0,2.6,0.0,14.8,14.8,否,,否,,
20221212,ID:900324683164875212,东莞,沙拉食刻（松山湖1分店）,14764991,35,2022-12-12 11:28:56,2022-12-12 12:03:43,2,已完成,否,否,"黑椒鸡腿扒荞麦面果蔬沙拉套餐(545克,蒜香海鲜汁,凯撒汁),单价22.8*数量1",购买黑椒鸡腿扒荞麦面果蔬沙拉套餐原价35.0元现价22.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,22.8,35.0,2.6,0.0,14.8,14.8,否,,否,,
20221212,ID:900324691734274296,东莞,沙拉食刻（松山湖1分店）,14764991,36,2022-12-12 11:30:27,2022-12-12 11:46:08,4,已完成,否,否,"香菇藤椒鸡胸肉南瓜面沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价21.8*数量1",购买香菇藤椒鸡胸肉南瓜面沙拉套餐原价34.0元现价21.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,21.8,34.0,2.6,0.0,14.8,14.8,否,,否,,
20221212,ID:900324693215238707,东莞,沙拉食刻（松山湖1分店）,14764991,38,2022-12-12 11:32:58,2022-12-12 11:57:50,15,已完成,否,否,"黑椒鸡腿扒谷物饭+紫薯球果蔬沙拉(545克,黑椒汁,油醋汁),单价22.8*数量1",购买黑椒鸡腿扒谷物饭+紫薯球果蔬沙拉原价35.0元现价22.8元[商家承担:12.2元]/用户使用了会员红包减5元[新美大承担:5.0元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,17.8,35.0,2.6,0.0,19.8,14.8,否,,否,,
20221212,ID:900324693755908307,东莞,沙拉食刻（松山湖1分店）,14764991,39,2022-12-12 11:35:09,2022-12-12 11:50:59,9,已完成,否,否,"黑椒鸡腿扒荞麦面+紫薯球果蔬沙拉(545克,蒜香海鲜汁,凯撒汁),单价22.8*数量1",减配送费2.6元[商家承担:2.6元]/购买黑椒鸡腿扒荞麦面+紫薯球果蔬沙拉原价35.0元现价22.8元[商家承担:12.2元]/门店新客立减3.0元[商家承担:3.0元],美团快送,否,否,20.6,35.0,3.4,0.0,17.8,17.8,否,,否,,
20221212,ID:900324690911797748,东莞,沙拉食刻（松山湖1分店）,14764991,41,2022-12-12 11:36:57,2022-12-12 12:13:33,3,已完成,否,否,"奥尔良鸡胸肉荞麦面沙拉套餐(545克,焙煎芝麻汁,油醋汁),单价21.8*数量1",减配送费2.6元[商家承担:2.6元]/用户使用了会员红包减5元[新美大承担:5.0元]/购买奥尔良鸡胸肉荞麦面沙拉套餐原价34.0元现价21.8元[商家承担:12.2元],美团快送,否,否,16.8,34.0,2.6,0.0,19.8,14.8,否,,否,,
20221212,ID:900324692944225242,东莞,沙拉食刻（松山湖1分店）,14764991,43,2022-12-12 11:38:31,2022-12-12 12:05:52,10,已完成,否,否,"热辣藤椒鸡胸肉面沙拉派(1人份,焙煎芝麻汁),单价18.8*数量1",门店新客立减3.0元[商家承担:3.0元]/减配送费2.6元[商家承担:2.6元]/购买热辣藤椒鸡胸肉面沙拉派原价24.0元现价18.8元[商家承担:5.2元],美团快送,否,否,15.8,24.0,2.6,0.0,10.8,10.8,否,,否,,
20221212,ID:900324701052288963,东莞,沙拉食刻（松山湖1分店）,14764991,44,2022-12-12 11:40:01,2022-12-12 12:02:52,7,已完成,否,否,"奥尔良鸡胸肉荞麦面沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价21.8*数量1/奶香紫薯球(90克),单价2.99*数量1",购买奥尔良鸡胸肉荞麦面沙拉套餐原价34.0元现价21.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,24.89,36.99,2.7,0.0,14.8,14.8,否,,否,,
20221212,ID:900324703706492520,东莞,沙拉食刻（松山湖1分店）,14764991,45,2022-12-12 11:42:09,2022-12-12 12:15:48,8,已完成,否,否,"奥尔良鸡胸肉荞麦面+紫薯球果蔬沙拉(545克,焙煎芝麻汁,焙煎芝麻汁),单价21.8*数量1",购买奥尔良鸡胸肉荞麦面+紫薯球果蔬沙拉原价34.0元现价21.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元]/用户使用了会员红包减5元[新美大承担:5.0元],美团快送,否,否,16.8,34.0,2.6,0.0,19.8,14.8,否,,否,,
20221212,ID:900324702036764243,东莞,沙拉食刻（松山湖1分店）,14764991,47,2022-12-12 11:42:35,2022-12-12 12:20:24,14,已完成,否,否,"百里香牛肉粒意面套餐(545克,香辣汁,油醋汁),单价41.0*数量1",用户使用了会员红包减5元[新美大承担:5.0元]/满35.0元减11.0元[商家承担:11.0元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,25.4,41.0,3.0,0.0,18.6,13.6,否,,否,,
20221212,ID:900324702111294033,东莞,沙拉食刻（松山湖1分店）,14764991,48,2022-12-12 11:42:47,2022-12-12 11:53:37,5,已完成,否,否,"百里香牛肉粒意面套餐(545克,焙煎芝麻汁,凯撒汁),单价41.0*数量1",用户使用了会员红包减5元[新美大承担:5.0元]/满35.0元减11.0元[商家承担:11.0元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,25.0,41.0,2.6,0.0,18.6,13.6,否,,否,,
20221212,ID:900324701516613075,东莞,沙拉食刻（松山湖1分店）,14764991,49,2022-12-12 11:48:51,2022-12-12 12:17:34,6,已完成,否,否,"热辣藤椒鸡胸肉面沙拉派(1人份,黑胡椒汁),单价18.8*数量1",减配送费2.6元[商家承担:2.6元]/用户使用了会员红包减5元[新美大承担:5.0元]/购买热辣藤椒鸡胸肉面沙拉派原价24.0元现价18.8元[商家承担:5.2元],美团快送,否,否,13.8,24.0,2.6,0.0,12.8,7.8,否,,否,,
20221212,ID:900324712737523168,东莞,沙拉食刻（松山湖1分店）,14764991,50,2022-12-12 11:50:17,2022-12-12 12:17:21,6,已完成,否,否,"蜜汁鸡腿扒荞麦面+紫薯球果蔬沙拉(545克,香辣汁,焙煎芝麻汁),单价22.8*数量1",用户使用了会员红包减5元[新美大承担:5.0元]/购买蜜汁鸡腿扒荞麦面+紫薯球果蔬沙拉原价35.0元现价22.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,18.4,35.0,3.2,0.0,19.8,14.8,否,,否,,
20221212,ID:900324772111294033,东莞,沙拉食刻（松山湖1分店）,14764991,54,2022-12-12 12:54:53,2022-12-12 13:05:56,4,已完成,否,否,"蜜汁鸡胸肉荞麦面沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价21.8*数量1",购买蜜汁鸡胸肉荞麦面沙拉套餐原价34.0元现价21.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,21.8,34.0,2.6,0.0,14.8,14.8,否,,否,,
20221212,ID:900324771744718262,东莞,沙拉食刻（松山湖1分店）,14764991,55,2022-12-12 12:57:35,2022-12-12 13:14:07,3,已完成,否,否,"热辣藤椒鸡胸肉面沙拉派(1人份,蒜香海鲜汁),单价18.8*数量1",用户使用了会员红包减5元[新美大承担:5.0元]/购买热辣藤椒鸡胸肉面沙拉派原价24.0元现价18.8元[商家承担:5.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,13.8,24.0,2.6,0.0,12.8,7.8,否,,否,,
20221212,ID:900324772932040569,东莞,沙拉食刻（松山湖1分店）,14764991,56,2022-12-12 12:59:20,2022-12-12 13:16:25,4,已完成,否,否,"金枪鱼藜麦谷物饭沙拉套餐(545克,油醋汁,油醋汁),单价25.8*数量1",减配送费2.6元[商家承担:2.6元]/购买金枪鱼藜麦谷物饭沙拉套餐原价39.0元现价25.8元[商家承担:13.2元],美团快送,否,否,25.8,39.0,2.6,0.0,15.8,15.8,否,,否,,
20221212,ID:900324781545167998,东莞,沙拉食刻（松山湖1分店）,14764991,57,2022-12-12 13:08:15,2022-12-12 13:38:40,25,已完成,否,否,"咖喱鸡扒饭(1人份),单价24.0*数量1/每日果蔬代餐粉(50克,哈蜜瓜芒果味),单价15.0*数量1",满35.0元减11.0元[商家承担:11.0元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,28.0,39.0,2.6,0.0,13.6,13.6,否,,否,,
20221212,ID:900324803753528155,东莞,沙拉食刻（松山湖1分店）,14764991,58,2022-12-12 13:25:59,2022-12-12 13:35:39,3,已完成,否,否,"咖喱鸡扒饭(1人份),单价18.8*数量1",减配送费2.6元[商家承担:2.0元]/用户使用了会员红包减5元[新美大承担:5.0元]/购买咖喱鸡扒饭原价24.0元现价18.8元[商家承担:5.2元],美团快送,否,否,13.8,24.0,2.0,0.0,12.2,7.2,否,,否,,
20221212,ID:900324863706492520,东莞,沙拉食刻（松山湖1分店）,14764991,61,2022-12-12 14:25:53,2022-12-12 15:09:43,35,已完成,否,否,"焦糖玛奇朵(400毫升,不另外加糖,热),单价18.0*数量1/焦糖玛奇朵(400毫升,不另外加糖,正常冰),单价18.0*数量1",门店新客立减3.0元[商家承担:3.0元]/满35.0元减11.0元[商家承担:11.0元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,25.4,36.0,4.0,2.0,16.6,16.6,否,,否,,
20221212,ID:900324863760749981,东莞,沙拉食刻（松山湖1分店）,14764991,62,2022-12-12 14:29:56,2022-12-12 14:54:51,11,已完成,否,否,"蜜汁鸡胸肉荞麦面+果蔬沙拉(蒜香海鲜汁,蒜香海鲜汁),单价16.8*数量1",购买蜜汁鸡胸肉荞麦面+果蔬沙拉原价17.7元现价16.8元[新美大承担:0.9元],美团快送,否,否,16.8,17.7,0.0,0.0,0.9,0.0,否,,否,,
20221212,ID:900324874285213899,东莞,沙拉食刻（松山湖1分店）,14764991,63,2022-12-12 14:38:54,2022-12-12 15:33:41,32,已完成,否,否,"蜜汁鸡胸肉荞麦面+果蔬沙拉(焙煎芝麻汁,蒜香海鲜汁),单价16.8*数量1",购买蜜汁鸡胸肉荞麦面+果蔬沙拉原价17.7元现价16.8元[新美大承担:0.9元],美团快送,否,否,16.8,17.7,0.0,0.0,0.9,0.0,否,,否,,
20221212,ID:900324974115178470,东莞,沙拉食刻（松山湖1分店）,14764991,64,2022-12-12 16:12:09,2022-12-12 16:42:52,18,已完成,否,否,"热辣藤椒鸡胸肉面沙拉派(1人份,油醋沙拉汁),单价18.8*数量1",用户使用了会员红包减5元[新美大承担:5.0元]/减配送费2.6元[商家承担:2.6元]/购买热辣藤椒鸡胸肉面沙拉派原价24.0元现价18.8元[商家承担:5.2元],美团快送,否,否,13.8,24.0,2.6,0.0,12.8,7.8,否,,否,,
20221212,ID:900325022283211059,东莞,沙拉食刻（松山湖1分店）,14764991,66,2022-12-12 17:00:49,2022-12-12 18:15:46,13,已完成,是,否,"缤纷鲜果荟(250克),单价18.0*数量1/黑椒牛肉烤意面(1人份),单价17.0*数量1",减配送费2.6元[商家承担:2.6元]/用户使用了会员红包减5元[新美大承担:5.0元]/满35.0元减11.0元[商家承担:11.0元],美团快送,否,否,20.8,35.0,3.4,1.0,18.6,13.6,否,,否,,
20221212,ID:900325052829928400,东莞,沙拉食刻（松山湖1分店）,14764991,68,2022-12-12 17:35:47,2022-12-12 18:04:33,15,已完成,否,否,"番茄苹果汁(380毫升,去冰),单价9.9*数量1/咖喱鸡扒饭(1人份),单价18.8*数量1",减配送费2.6元[商家承担:2.6元]/购买番茄苹果汁原价16.0元现价9.9元[商家承担:6.1元]/购买咖喱鸡扒饭原价24.0元现价18.8元[商家承担:5.2元]/用户使用了会员红包减5元[新美大承担:5.0元],美团快送,否,否,24.7,40.0,2.6,1.0,18.9,13.9,否,,否,,
20221212,ID:900324630657004671,东莞,沙拉食刻（松山湖1分店）,14764991,66,2022-12-12 10:39:14,2022-12-12 11:05:41,10,已完成,否,否,"奥尔良鸡胸肉谷物饭+果蔬沙拉(焙煎芝麻汁,焙煎芝麻汁),单价16.9*数量1",购买奥尔良鸡胸肉谷物饭+果蔬沙拉原价17.7元现价16.9元[新美大承担:0.8元],美团快送,否,否,16.9,17.7,0.0,0.0,0.8,0.0,否,,否,,
20221212,ID:900324664132597198,东莞,沙拉食刻（松山湖1分店）,14764991,95,2022-12-12 11:04:12,2022-12-12 11:58:31,39,已完成,否,否,"奥尔良鸡胸肉荞麦面+果蔬沙拉(凯撒沙拉汁,香辣汁),单价16.8*数量1",用户使用了支付红包减1.6元[新美大承担:1.6元]/购买奥尔良鸡胸肉荞麦面+果蔬沙拉原价17.7元现价16.8元[新美大承担:0.9元],美团快送,否,否,15.2,17.7,0.0,0.0,2.5,0.0,否,,是,,
20221212,ID:900324662902251190,东莞,沙拉食刻（松山湖1分店）,14764991,15,2022-12-12 11:06:27,2022-12-12 11:13:38,4,已完成,否,否,"百里香牛肉粒意面套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价41.0*数量1",减配送费2.6元[商家承担:1.6元]/门店新客立减3.0元[商家承担:3.0元]/满35.0元减11.0元[商家承担:11.0元],美团快送,否,否,27.0,41.0,1.6,0.0,15.6,15.6,否,,否,,
20221212,ID:900324770661114695,东莞,沙拉食刻（松山湖1分店）,14764991,53,2022-12-12 12:53:12,2022-12-12 13:14:15,13,已完成,否,否,"热辣藤椒鸡胸肉面沙拉派(1人份,焙煎芝麻汁),单价18.8*数量1",门店新客立减3.0元[商家承担:3.0元]/购买热辣藤椒鸡胸肉面沙拉派原价24.0元现价18.8元[商家承担:5.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,17.2,24.0,4.0,0.0,10.8,10.8,否,,否,,
20221212,ID:900324802760300974,东莞,沙拉食刻（松山湖1分店）,14764991,59,2022-12-12 13:29:54,2022-12-12 13:47:42,1,已完成,否,否,"蜜汁鸡胸肉荞麦面沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价21.8*数量1/柠檬青瓜汁(380毫升),单价9.9*数量1",减配送费2.6元[商家承担:2.6元]/购买蜜汁鸡胸肉荞麦面沙拉套餐原价34.0元现价21.8元[商家承担:12.2元]/用户使用了会员红包减5元[新美大承担:5.0元],美团快送,否,否,26.7,43.9,2.6,0.0,19.8,14.8,否,,否,,
